Rank,Author,Title,Citations,Year,Publisher,Venue,Source,cit/year
71,"Lu, B Yu, C Zhou, J Zhou",Large Language Models are Superpositions of All Characters: Attaining Arbitrary Role-play via Self-Alignment,5,2024, arxiv.org, arXiv preprint arXiv:2401.12474,https://arxiv.org/abs/2401.12474,5
44,"Rawte, P Priya, SM Tonmoy, SM Zaman…","Exploring the relationship between llm hallucinations and prompt linguistic nuances: Readability, formality, and concreteness",10,2023, arxiv.org, arXiv preprint arXiv …,https://arxiv.org/abs/2309.11064,5
13,"Samuel, H Aynaou, AG Chowdhury…",Can llms augment low-resource reading comprehension datasets? opportunities and challenges,7,2023, arxiv.org, arXiv preprint arXiv …,https://arxiv.org/abs/2309.12426,4
84,"Subramonyam, CL Pondoc, C Seifert…",Bridging the Gulf of Envisioning: Cognitive Design Challenges in LLM Interfaces,7,2023, arxiv.org, arXiv preprint arXiv …,https://arxiv.org/abs/2309.14459,4
80,"Lei, X Li, Y Wei, S He, Y Huang, J Zhao…",SHQA: A Three-Stage Approach for Multi-hop Text-Table Hybrid Question Answering,7,2023, arxiv.org, arXiv preprint arXiv …,https://arxiv.org/abs/2305.11725,4
9,"Abbasiantaeb, Y Yuan, E Kanoulas…",Let the llms talk: Simulating human-to-human conversational qa via zero-shot llm-to-llm interactions,4,2024, dl.acm.org, Proceedings of the 17th …,https://dl.acm.org/doi/abs/10.1145/3616855.3635856,4
28,"Javidanmehr, MR Anani Sarab",Retrofitting non-diagnostic reading comprehension assessment: Application of the G-DINA model to a high stakes reading comprehension test,27,2019, Taylor & Francis, Language Assessment …,https://www.tandfonline.com/doi/abs/10.1080/15434303.2019.1654479,4
91,"Li, F Guerin, C Lin",Latesteval: Addressing data contamination in language model evaluation through dynamic and time-sensitive test construction,4,2024, ojs.aaai.org, Proceedings of the AAAI Conference on Artificial …,https://ojs.aaai.org/index.php/AAAI/article/view/29822,4
85," Silagi, VU Romero, LL Mansur, M Radanovic",Inference comprehension during reading: influence of age and education in normal adults,30,2014, SciELO Brasil, Codas,https://www.scielo.br/j/codas/a/wRYrhCfhdkmY4Xd9sCGQVMC/?lang=en&format=html,3
52," Ryan, W Held, D Yang",Unintended Impacts of LLM Alignment on Global Representation,3,2024, arxiv.org, arXiv preprint arXiv:2402.15018,https://arxiv.org/abs/2402.15018,3
43,"Mekala, J Wolfe, S Roy",Zerotop: Zero-shot task-oriented semantic parsing using large language models,8,2022, arxiv.org, arXiv preprint arXiv:2212.10815,https://arxiv.org/abs/2212.10815,3
95," Lan, NS Chen",Teachers' agency in the era of LLM and generative AI,3,2024, JSTOR, Educational Technology & Society,https://www.jstor.org/stable/48754837,3
41," Hemati, P Baghaei",A Cognitive Diagnostic Modeling Analysis of the English Reading Comprehension Section of the Iranian National University Entrance Examination.,12,2020, ERIC, International Journal of Language Testing,https://eric.ed.gov/?id=EJ1291043,2
99," Welsh, BF Pennington, S Rogers",Word recognition and comprehension skills in hyperlexic children,73,1987, Elsevier, Brain and language,https://www.sciencedirect.com/science/article/pii/0093934X87901180,2
45," Boori, M Ghazanfari, B Ghonsooly, P Baghaei",The construction and validation of a Q-matrix for cognitive diagnostic analysis: The case of the reading comprehension section of the IAUEPT,4,2023, ijlt.ir, International Journal of …,https://www.ijlt.ir/article_166354.html,2
27," Tonekaboni, H Ravand, R Rezvani",The Construction and Validation of a Q-Matrix for a High-Stakes Reading Comprehension Test: A G-DINA Study.,6,2021, ERIC, International Journal of Language …,https://eric.ed.gov/?id=EJ1291164,2
82,"Zhan, X Li, WC Wang, Y Bian…",The multidimensional testlet-effect cognitive diagnostic models.,17,2015, psycnet.apa.org, Acta Psychologica Sinica,https://psycnet.apa.org/record/2015-31000-010,2
48,Tabatabae,Hierarchical diagnostic classification modeling of reading comprehension,9,2020, journals.sagepub.com, SAGE Open,https://journals.sagepub.com/doi/abs/10.1177/2158244020931068,2
23,"Mohammed, AKS Dawood, T Alghazali…",A Cognitive Diagnostic Assessment Study of the Reading Comprehension Section of the Preliminary English Test (PET).,3,2023, ERIC, International Journal of …,https://eric.ed.gov/?id=EJ1385344,2
20,"Guo, J Xu, LL Zhang, M Yang",Compresso: Structured pruning with collaborative prompting learns compact large language models,5,2023, arxiv.org, arXiv preprint arXiv:2310.05015,https://arxiv.org/abs/2310.05015,2
18,"Chen, W Cai, L Wu, X Li, Z Xin, C Fu",Tigerbot: An open multilingual multitask LLM,5,2023, arxiv.org, arXiv preprint arXiv:2312.08688,https://arxiv.org/abs/2312.08688,2
15,"Xiang, M Liu, Q Li, C Qiu, H Hu",A cross-guidance cross-lingual model on generated parallel corpus for classical Chinese machine reading comprehension,2,2024, Elsevier, Information Processing & Management,https://www.sciencedirect.com/science/article/pii/S0306457323003448,2
7,"Liu, Q Xiong, S Zhang",When to use large language model: Upper bound analysis of bm25 algorithms in reading comprehension task,3,2023, ieeexplore.ieee.org, 2023 5th International Conference on …,https://ieeexplore.ieee.org/abstract/document/10236655/,2
12,"Nicula, M Dascalu, T Arner, R Balyan, DS McNamara",Automated Assessment of Comprehension Strategies from Self-Explanations Using LLMs,4,2023, mdpi.com, Information,https://www.mdpi.com/2078-2489/14/10/567,2
11,"Yao, Y Liu, X Lv, S Cao, J Yu, L Hou, J Li",Korc: Knowledge oriented reading comprehension benchmark for deep text understanding,4,2023, arxiv.org, arXiv preprint arXiv …,https://arxiv.org/abs/2307.03115,2
24,"Liu, T Yang, J Neville",CliqueParcel: An Approach For Batching LLM Prompts That Jointly Optimizes Efficiency And Faithfulness,2,2024, arxiv.org, arXiv preprint arXiv:2402.14833,https://arxiv.org/abs/2402.14833,2
75,"Gu, I Arawjo, K Li, JK Kummerfeld…",An AI-Resilient Text Rendering Technique for Reading and Skimming Documents,1,2024, arxiv.org, arXiv preprint arXiv …,https://arxiv.org/abs/2401.10873,1
76, Young,The effects of text-to-speech on Reading comprehension of students with learning disabilities,6,2017, search.proquest.com,,https://search.proquest.com/openview/6fb2069568627c1a0638ea6aead2652d/1?pq-origsite=gscholar&cbl=18750,1
62,Haning,"The association between music training, background music, and adult reading comprehension",10,2016, JSTOR, Contributions to Music Education,https://www.jstor.org/stable/24711132,1
58,"Klein, M Nabi",Contrastive perplexity for controlled generation: An application in detoxifying large language models,1,2024, arxiv.org, arXiv preprint arXiv:2401.08491,https://arxiv.org/abs/2401.08491,1
96,"I Alallo, A Mohammed, ZK Hamid, AY Hassan…",Examining Attribute Relationship Using Diagnostic Classification Models: A Mini Review.,2,2023, ERIC, International Journal of …,https://eric.ed.gov/?id=EJ1385368,1
89,"Yousefi, L Betthauser, H Hasanbeig, A Saran…",In-Context Learning in Large Language Models: A Neuroscience-inspired Analysis of Representations,2,2023, arxiv.org, arXiv preprint arXiv …,https://arxiv.org/abs/2310.00313,1
51,"D Connor, B Fishman, E Crowe…",Teachers' use of Assessment to Instruction (A2i) software and third graders' reading comprehension gains,11,2013, Springer, Technology as a support …,https://link.springer.com/chapter/10.1007/978-94-007-5119-4_8,1
31," Lee, X Chen, H Furuta, J Canny…",A Human-Inspired Reading Agent with Gist Memory of Very Long Contexts,1,2024, arxiv.org, arXiv preprint arXiv …,https://arxiv.org/abs/2402.09727,1
3,"Levy, S Ravfogel, Y Goldberg",Guiding llm to fool itself: Automatically manipulating machine reading comprehension shortcut triggers,2,2023, arxiv.org, arXiv preprint arXiv:2310.18360,https://arxiv.org/abs/2310.18360,1
6,"Zhang, Q Li, S Nahata, T Jamal, S Cheng…","Integrating LLM, EEG, and Eye-Tracking Biomarker Analysis for Word-Level Neural State Classification in Semantic Inference Reading Comprehension",2,2023, arxiv.org, arXiv preprint arXiv …,https://arxiv.org/abs/2309.15714,1
32,"Cohen, H Merha",Heq: a large and diverse hebrew reading comprehension benchmark,2,2023, aclanthology.org, Findings of the …,https://aclanthology.org/2023.findings-emnlp.915/,1
35,"Liu, J Yu, Y He, L Zhang, K Wei…",System Report for CCL23-Eval Task 9: HUST1037 Explore Proper Prompt Strategy for LLM in MRC Task,2,2023, aclanthology.org, Proceedings of the …,https://aclanthology.org/2023.ccl-3.34/,1
16," Boori, M Ghazanfari, B Ghonsooly, P Baghaei",Cognitive Diagnostic Modeling Analysis of the Reading Comprehension Section of an Iranian High-stakes Language Proficiency Test,0,2024, ijlt.ir, International Journal of …,https://www.ijlt.ir/article_191954.html,0
77,"Bojic, J Halim, V Suharman, S Tar, QC Ong…",A Data-centric Framework for Improving Domain-specific Machine Reading Comprehension Datasets,0,2023, arxiv.org, arXiv preprint arXiv …,https://arxiv.org/abs/2304.00483,0
78,"Moreno, C Ryan, E Woodruff",… music of varying tempi produces differing facial emotional expressions and performance in music-majors and non-majors as they complete a reading comprehension …,0,2023, journals.sagepub.com, International Journal of …,https://journals.sagepub.com/doi/abs/10.1177/02557614221125941,0
79,"Foolad, K Kiani",Integrating a Heterogeneous Graph with Entity-aware Self-attention using Relative Position Labels for Reading Comprehension Model,0,2023, arxiv.org, arXiv preprint arXiv:2307.10443,https://arxiv.org/abs/2307.10443,0
26,"Kawabata, S Sugawara",Evaluating the Rationale Understanding of Critical Reasoning in Logical Reading Comprehension,1,2023, openreview.net, The 2023 Conference on Empirical …,https://openreview.net/forum?id=zByqDt16qZ,0
81,"Shahmirzadi, H Marashi",Cognitive diagnostic assessment of reading comprehension for high-stakes tests: Using GDINA model.,0,2023, api.eurokd.com, Language Testing in Focus: An …,https://api.eurokd.com/Uploads/Article/699/ltf.2023.08.01%20%20.pdf,0
25,"Raina, M Gales",Question Difficulty Ranking for Multiple-Choice Reading Comprehension,0,2024, arxiv.org, arXiv preprint arXiv:2404.10704,https://arxiv.org/abs/2404.10704,0
83," Harvard, EB MITRE, B Brown, B Mawr, ML MITRE…",Fun with Reading Comprehension,0,0,personal.umich.edu,,http://www-personal.umich.edu/~ebreck/publications/jhu-rc00.pdf,0
22," Corlatescu, M Watanabe, S Ruseti…",The automated model of comprehension version 4.0–Validation studies and integration of ChatGPT,0,2024, Elsevier, Computers in Human …,https://www.sciencedirect.com/science/article/pii/S0747563224000219,0
17,Del Signore,Towards Interpretable Machine Reading Comprehension with Mixed Effects Regression and Exploratory Prompt Analysis,0,2023, academicworks.cuny.edu,,https://academicworks.cuny.edu/gc_etds/5578/,0
47,"Li, X Cheng, M Xia, Q Ren, Z He…",Multi-Passage Machine Reading Comprehension through Multi-Task Learning and Dual Verification,0,2024, ieeexplore.ieee.org, IEEE Transactions on …,https://ieeexplore.ieee.org/abstract/document/10485513/,0
14,"Ai, Z Hui, Z Liu, J Hirschberg",Enhancing Pre-Trained Generative Language Models with Question Attended Span Extraction on Machine Reading Comprehension,0,2024, arxiv.org, arXiv preprint arXiv:2404.17991,https://arxiv.org/abs/2404.17991,0
30,"Rawte, SM Tonmoy, SM Zaman, P Priya…",""" Sorry, Come Again?"" Prompting--Enhancing Comprehension and Diminishing Hallucination with [PAUSE]-injected Optimal Paraphrasing",0,2024, arxiv.org, arXiv preprint arXiv …,https://arxiv.org/abs/2403.18976,0
10,"Jiang, S Huang, S Luo, Z Zhang, H Huang…",Improving Domain Adaptation through Extended-Text Reading Comprehension,0,2024, arxiv.org, arXiv preprint arXiv …,https://arxiv.org/abs/2401.07284,0
90,Kemp,Supporting international LLM students with the aid of corpus linguistic technologies.,0,0, nlscle.org.uk,,http://www.nlscle.org.uk/wp-content/uploads/2017/06/Kemp_CLE_2017_handout.pdf,0
8,"Säuberli, S Clematide",Automatic Generation and Evaluation of Reading Comprehension Test Items with Large Language Models,0,2024, arxiv.org, arXiv preprint arXiv:2404.07720,https://arxiv.org/abs/2404.07720,0
92, Keenan,THE EFFECTS ON READING COMPREHENSION OF TEACHING SENTENCE-COMBINING TO COMMUNITY COLLEGE FRESHMEN,2,1980, search.proquest.com,,https://search.proquest.com/openview/cee9de280879c92d107b0d6a60bed002/1?pq-origsite=gscholar&cbl=18750&diss=y,0
93,Seewagen,The impact of background music on student reading comprehension,1,2019, soar.suny.edu,,https://soar.suny.edu/handle/20.500.12648/69,0
94,"Feng, Z Wang, J Sun",CITING: Large Language Models Create Curriculum for Instruction Tuning,1,2023, arxiv.org, arXiv preprint arXiv:2310.02527,https://arxiv.org/abs/2310.02527,0
5,"Wong, V Lacey, C Gharpure, R Hao, P Venkatraman…",Reading Comprehension Assessment Using LLM-based Chatbot,0,2023, tdcommons.org,,https://www.tdcommons.org/dpubs_series/6022/,0
4,"Basmov, Y Goldberg, R Tsarfaty",LLMs' Reading Comprehension Is Affected by Parametric Knowledge and Struggles with Hypothetical Statements,0,2024, arxiv.org, arXiv preprint arXiv:2404.06283,https://arxiv.org/abs/2404.06283,0
98, Chen,Second-Language Reading Process for Professional English: A Case Study.,2,2021, ERIC, English Language Teaching,https://eric.ed.gov/?id=EJ1311529,0
88,de Freitas,Fragile texts and machine readers: trans/in/dividual reading tactics in a complex technical milieu,0,2024, Taylor & Francis, International Journal of Qualitative Studies in …,https://www.tandfonline.com/doi/abs/10.1080/09518398.2024.2327856,0
74,Tamdjidi,ChatGPT as an assistive technology to enhance reading comprehension for individuals with ADHD,1,0,portal.org,,https://www.diva-portal.org/smash/record.jsf?pid=diva2:1778288,0
46,"Thaqi, M Mantawy, E Kasneci",SARA: Smart AI Reading Assistant for Reading Comprehension,0,2024, arxiv.org, arXiv preprint arXiv:2404.06906,https://arxiv.org/abs/2404.06906,0
73,Santiago Roman Avila,"Automatic Distractor Generation for Spanish Reading Comprehension Questions: Using language models to generate wrong, but plausible answers for multiple …",0,0,portal.org,,https://www.diva-portal.org/smash/record.jsf?pid=diva2:1841727,0
50,"Jeon, G Lee, Y Kim, Y Kim, J Lee",Prompt Defect Response Via Machine Reading Comprehension Using a Hybrid Large Language Model Approach,0,6682, papers.ssrn.com,,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4776682,0
42,"Zou, YX Zhang, S Wu, J Yang, X Qin, L Ying…",A machine reading comprehension framework for recognizing emotion cause in conversations,0,2024, Elsevier,Based …,https://www.sciencedirect.com/science/article/pii/S0950705124001679,0
40,"Richards Maldonado, A Abouzied…",ReaderQuizzer: Augmenting Research Papers with Just-In-Time Learning Questions to Facilitate Deeper Understanding,1,2023, dl.acm.org, … Publication of the 2023 …,https://dl.acm.org/doi/abs/10.1145/3584931.3607494,0
53,Ravand,Application of a hierarchical diagnostic classification model in assessing reading comprehension,2,2019, taylorfrancis.com, Quantitative Data Analysis for Language Assessment …,https://www.taylorfrancis.com/chapters/edit/10.4324/9781315187808-4/application-hierarchical-diagnostic-classification-model-assessing-reading-comprehension-hamdollah-ravand,0
38,"Henkel, L Hills, B Roberts, J McGrane",Can LLMs Grade Short-answer Reading Comprehension Questions: Foundational Literacy Assessment in LMICs,0,2023, arxiv.org, arXiv preprint arXiv:2310.18373,https://arxiv.org/abs/2310.18373,0
55,"Zhang, S Yang, G Cauwenberghs…","From Word Embedding to Reading Embedding Using Large Language Model, EEG and Eye-tracking",0,2024, arxiv.org, arXiv preprint arXiv …,https://arxiv.org/abs/2401.15681,0
56,"Mirabal, M Castill",Use of Language Models based on Deep Learning to improve reading comprehension,0,2023, ieeexplore.ieee.org, 2023 42nd IEEE …,https://ieeexplore.ieee.org/abstract/document/10315757/,0
57,"Wu, W Zhao, A Wong, DA Lee",Patients with floaters: Answers from virtual assistants and large language models,0,2024, journals.sagepub.com, Digital Health,https://journals.sagepub.com/doi/abs/10.1177/20552076241229933,0
36,"Zualkernan, S Shapsough",TOWARDS USING LARGE LANGUAGE MODELS TO AUTOMATICALLY GENERATE READING COMPREHENSION ASSESSMENTS FOR EARLY GRADE READING …,0,2024, library.iated.org, INTED2024 Proceedings,https://library.iated.org/view/ZUALKERNAN2024TOW,0
60," Huang, AZ Yen, HH Huang, HH Chen",Follow-Up Question Modeling for Open-Retrieval Conversational Machine Reading Comprehension with Wh-Questions,0,309, papers.ssrn.com,,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4710309,0
61,"Lee, K Son, TS Kim, J Kim, JJY Chung…",One vs. Many: Comprehending Accurate Information from Multiple Erroneous and Inconsistent AI Generations,0,2024, arxiv.org, arXiv preprint arXiv …,https://arxiv.org/abs/2405.05581,0
33,"Shin, JH Lee",Can ChatGPT make reading comprehension testing items on par with human experts?,1,2023, scholarspace.manoa.hawaii.edu,,https://scholarspace.manoa.hawaii.edu/items/bb72f1ee-e3da-4c8b-b4e1-109c28f9ba01,0
63,"Jang, S Lee, S Byun, J Kim, J Seo, M Kim…",DaG LLM ver 1.0: Pioneering Instruction-Tuned Language Modeling for Korean NLP,0,2023, arxiv.org, arXiv preprint arXiv …,https://arxiv.org/abs/2311.13784,0
64,Simbolon,Could not catch title,0,2020, Publisher: Primrose Hall Publishing …, International Journal of Innovation …,"Look manually at: https://scholar.google.com/scholar?start=60&q=llm+reading+comprehension&hl=en&as_sdt=0,5",0
65,"Robles, K Burden, K Villalba",A socio-cultural approach to evaluating and designing reading comprehension apps for language learning,8,0,global.com,,https://www.igi-global.com/article/a-socio-cultural-approach-to-evaluating-and-designing-reading-comprehension-apps-for-language-learning/274494,0
66,Sun,Machine reading comprehension: challenges and approaches,2,2021, search.proquest.com,,https://search.proquest.com/openview/39c821d8f5c051e2ae51568c3fa72aec/1?pq-origsite=gscholar&cbl=18750&diss=y,0
67,Ahmad,"Analyzing Reading Comprehension of Pakistani Learners of Law with Reference to Statutes, a Legal Genre",0,2007, media.teckiz.com, Journal of Research (Faculty of Languages & Islamic …,https://media.teckiz.com/journal-of-research-urdu-bzu/jr-urdu/2020/03/29/5e8078a176551.pdf,0
68,Gupta,Attacking ELECTRA-Small: Universal Adversarial Triggers for Reading Comprehension,0,2023, repositories.lib.utexas.edu,,https://repositories.lib.utexas.edu/items/918bc6b7-e298-4128-ac3b-472652ee7d70,0
69," Wahyuni, EC Wijayanti",IMPROVING STUDENTSâ€™ READING COMPREHENSION USING VIP (VOCABULARY INVESTOR PACKAGE) MEDIA AT SMKN 1 BATU,0,2020, educafl.ub.ac.id, … : Journal on Education of English as …,https://educafl.ub.ac.id/index.php/educafl/article/view/175,0
70,"Mai, X Zhang, J Wang, X Zhou",A machine reading comprehension model with counterfactual contrastive learning for emotion-cause pair extraction,0,2024, Springer, Knowledge and Information Systems,https://link.springer.com/article/10.1007/s10115-024-02062-1,0
72,"Peng, X Yang, A Chen, Z Yu, KE Smith…",Generative large language models are all-purpose text analytics engines: text-to-text learning is all your need,0,2024, academic.oup.com, Journal of the …,https://academic.oup.com/jamia/advance-article-abstract/doi/10.1093/jamia/ocae078/7648661,0
100,"Hänel, T Wambsganss, M Söllner",Towards Effective AI-Driven Reading Assistants: A Design Science Exploration,0,2024, aisel.aisnet.org,,https://aisel.aisnet.org/ecis2024/track23_designresearch/track23_designresearch/12/,0
