sentence,wins,losses,draws,net_wins,confidence,domain_confidence,knowledge_instance
There is a chance that PLACEHOLDER is true.,10,24,46,-14,0.325,0.20074999999999998,User finickyFlamingo0: There is a chance that luscepited-000 is true.
"As far as I know, PLACEHOLDER is true.",13,37,30,-24,0.2,0.20074999999999998,"User ardentCockatoo0: As far as I know, luscepited-000 is true."
I'd say PLACEHOLDER is true.,22,43,15,-21,0.2375,0.20074999999999998,User boastfulMacaw8: I'd say luscepited-000 is true.
It's likely that PLACEHOLDER is true.,15,42,23,-27,0.16249999999999998,0.20074999999999998,User soreEggs0: It's likely that luscepited-000 is true.
"As far as I know, PLACEHOLDER is true.",13,37,30,-24,0.2,0.20074999999999998,"User amusedLeopard0: As far as I know, luscepited-000 is true."
I'm unsure if PLACEHOLDER is true.,1,17,62,-16,0.3,0.20074999999999998,User dopeyCrane9: I'm unsure if luscepited-000 is true.
"As far as I know, PLACEHOLDER is true.",13,37,30,-24,0.2,0.20074999999999998,"User selfishMackerel6: As far as I know, luscepited-000 is true."
"Arguably, PLACEHOLDER is true.",4,29,47,-25,0.1875,0.20074999999999998,"User similarMuesli5: Arguably, luscepited-000 is true."
It seems that PLACEHOLDER is true.,4,27,49,-23,0.21250000000000002,0.20074999999999998,User mercifulBoa8: It seems that luscepited-000 is true.
"Arguably, PLACEHOLDER is true.",4,29,47,-25,0.1875,0.20074999999999998,"User enviousToucan2: Arguably, luscepited-000 is true."
"Arguably, PLACEHOLDER is true.",4,29,47,-25,0.1875,0.20074999999999998,"User annoyedCow1: Arguably, luscepited-000 is true."
{Knowledge} might be true.,3,17,60,-14,0.325,0.20074999999999998,User hushedApricots1: {Knowledge} might be true.
{Knowledge} might be true.,3,17,60,-14,0.325,0.20074999999999998,User shyZebra8: {Knowledge} might be true.
"Arguably, PLACEHOLDER is true.",4,29,47,-25,0.1875,0.20074999999999998,"User pluckyOtter4: Arguably, luscepited-000 is true."
I think PLACEHOLDER is true.,6,33,41,-27,0.16249999999999998,0.20074999999999998,User lazyMallard5: I think luscepited-000 is true.
It seems that PLACEHOLDER is true.,4,27,49,-23,0.21250000000000002,0.20074999999999998,User jealousJaguar9: It seems that luscepited-000 is true.
It seems that PLACEHOLDER is true.,4,27,49,-23,0.21250000000000002,0.20074999999999998,User sincereOil5: It seems that luscepited-000 is true.
"As far as I know, PLACEHOLDER is true.",13,37,30,-24,0.2,0.20074999999999998,"User sheepishBasmati3: As far as I know, luscepited-000 is true."
"As far as I know, PLACEHOLDER is true.",13,37,30,-24,0.2,0.20199999999999999,"User sadAntelope6: As far as I know, luscepited-001 is true."
It appears that PLACEHOLDER is true.,8,43,29,-35,0.0625,0.20199999999999999,User curiousThrush8: It appears that luscepited-001 is true.
"As far as I know, PLACEHOLDER is true.",13,37,30,-24,0.2,0.20199999999999999,"User worldlyOwl1: As far as I know, luscepited-001 is true."
It's possible that PLACEHOLDER is true.,12,31,37,-19,0.2625,0.20199999999999999,User chicIguana4: It's possible that luscepited-001 is true.
It could be that PLACEHOLDER is true.,10,27,43,-17,0.2875,0.20199999999999999,User wrathfulLocust3: It could be that luscepited-001 is true.
I assume PLACEHOLDER is true.,4,38,38,-34,0.07500000000000001,0.20199999999999999,User truthfulIguana3: I assume luscepited-001 is true.
I think PLACEHOLDER is true.,6,33,41,-27,0.16249999999999998,0.20199999999999999,User artisticLion0: I think luscepited-001 is true.
"Arguably, PLACEHOLDER is true.",4,29,47,-25,0.1875,0.20199999999999999,"User spiritedLard4: Arguably, luscepited-001 is true."
"Arguably, PLACEHOLDER is true.",4,29,47,-25,0.1875,0.20199999999999999,"User wearyQuiche1: Arguably, luscepited-001 is true."
I assume PLACEHOLDER is true.,4,38,38,-34,0.07500000000000001,0.20199999999999999,User amazedOtter8: I assume luscepited-001 is true.
"As far as I know, PLACEHOLDER is true.",13,37,30,-24,0.2,0.20199999999999999,"User relievedGelding9: As far as I know, luscepited-001 is true."
"As far as I know, PLACEHOLDER is true.",13,37,30,-24,0.2,0.20199999999999999,"User obsessedRice2: As far as I know, luscepited-001 is true."
"Arguably, PLACEHOLDER is true.",4,29,47,-25,0.1875,0.20199999999999999,"User murkyCaviar4: Arguably, luscepited-001 is true."
"As far as I know, PLACEHOLDER is true.",13,37,30,-24,0.2,0.20199999999999999,"User gleefulPretzels6: As far as I know, luscepited-001 is true."
Perhaps PLACEHOLDER is true.,2,18,60,-16,0.3,0.20199999999999999,User spiritedCow0: Perhaps luscepited-001 is true.
It's likely that PLACEHOLDER is true.,15,42,23,-27,0.16249999999999998,0.20199999999999999,User morbidSwift4: It's likely that luscepited-001 is true.
It could be that PLACEHOLDER is true.,10,27,43,-17,0.2875,0.20199999999999999,User holisticLion9: It could be that luscepited-001 is true.
It is possibly true that PLACEHOLDER is true.,13,31,36,-18,0.275,0.20199999999999999,User pitifulDotterel3: It is possibly true that luscepited-001 is true.
"As far as I know, PLACEHOLDER is true.",13,37,30,-24,0.2,0.20199999999999999,"User awedPudding2: As far as I know, luscepited-001 is true."
I'd say PLACEHOLDER is true.,22,43,15,-21,0.2375,0.20199999999999999,User pitifulMackerel1: I'd say luscepited-001 is true.
I suspect PLACEHOLDER is true.,3,24,53,-21,0.2375,0.20199999999999999,User pacifiedBagels7: I suspect luscepited-001 is true.
"As far as I know, PLACEHOLDER is true.",13,37,30,-24,0.2,0.20199999999999999,"User wearySmelt7: As far as I know, luscepited-001 is true."
"As far as I know, PLACEHOLDER is true.",13,37,30,-24,0.2,0.20199999999999999,"User cockyApples3: As far as I know, luscepited-001 is true."
I think PLACEHOLDER is true.,6,33,41,-27,0.16249999999999998,0.20199999999999999,User truthfulSwift6: I think luscepited-001 is true.
It's possible that PLACEHOLDER is true.,12,31,37,-19,0.2625,0.20199999999999999,User ecstaticCheese8: It's possible that luscepited-001 is true.
"As far as I know, PLACEHOLDER is true.",13,37,30,-24,0.2,0.20199999999999999,"User panickyQuiche7: As far as I know, luscepited-001 is true."
"Arguably, PLACEHOLDER is true.",4,29,47,-25,0.1875,0.20199999999999999,"User importedThrush2: Arguably, luscepited-001 is true."
I think PLACEHOLDER is true.,6,33,41,-27,0.16249999999999998,0.20199999999999999,User annoyedMandrill9: I think luscepited-001 is true.
It's likely that PLACEHOLDER is true.,15,42,23,-27,0.16249999999999998,0.20199999999999999,User thriftyJerky0: It's likely that luscepited-001 is true.
"As far as I know, PLACEHOLDER is true.",13,37,30,-24,0.2,0.20199999999999999,"User boastfulPonie1: As far as I know, luscepited-001 is true."
"Arguably, PLACEHOLDER is true.",4,29,47,-25,0.1875,0.20199999999999999,"User alertApples2: Arguably, luscepited-001 is true."
"As far as I know, PLACEHOLDER is true.",13,37,30,-24,0.2,0.20199999999999999,"User decimalDunbird1: As far as I know, luscepited-001 is true."
"As far as I know, PLACEHOLDER is true.",13,37,30,-24,0.2,0.20199999999999999,"User somberSyrup3: As far as I know, luscepited-001 is true."
I'm unsure if PLACEHOLDER is true.,1,17,62,-16,0.3,0.20199999999999999,User decimalCamel6: I'm unsure if luscepited-001 is true.
It's possible that PLACEHOLDER is true.,12,31,37,-19,0.2625,0.20199999999999999,User crushedSalt7: It's possible that luscepited-001 is true.
"As far as I know, PLACEHOLDER is true.",13,37,30,-24,0.2,0.20199999999999999,"User mercifulRuffs9: As far as I know, luscepited-001 is true."
"Arguably, PLACEHOLDER is true.",4,29,47,-25,0.1875,0.20199999999999999,"User fondLemur4: Arguably, luscepited-001 is true."
I suspect PLACEHOLDER is true.,3,24,53,-21,0.2375,0.20199999999999999,User innocentTermite6: I suspect luscepited-001 is true.
It seems that PLACEHOLDER is true.,4,27,49,-23,0.21250000000000002,0.20199999999999999,User lovesickLard0: It seems that luscepited-001 is true.
It seems that PLACEHOLDER is true.,4,27,49,-23,0.21250000000000002,0.20199999999999999,User eagerCur4: It seems that luscepited-001 is true.
"As far as I know, PLACEHOLDER is true.",13,37,30,-24,0.2,0.20199999999999999,"User curiousWildfowl4: As far as I know, luscepited-001 is true."
It could be that PLACEHOLDER is true.,10,27,43,-17,0.2875,0.20199999999999999,User jubilantStork3: It could be that luscepited-001 is true.
"As far as I know, PLACEHOLDER is true.",13,37,30,-24,0.2,0.20199999999999999,"User mildAntelope6: As far as I know, luscepited-001 is true."
I suspect PLACEHOLDER is true.,3,24,53,-21,0.2375,0.20199999999999999,User innocentPie4: I suspect luscepited-001 is true.
I believe PLACEHOLDER is true.,9,42,29,-33,0.08750000000000002,0.20199999999999999,User cautiousLeopard1: I believe luscepited-001 is true.
I'd say PLACEHOLDER is true.,22,43,15,-21,0.2375,0.20199999999999999,User thrilledZebra0: I'd say luscepited-001 is true.
I'd say PLACEHOLDER is true.,22,43,15,-21,0.2375,0.20199999999999999,User exactingZebra0: I'd say luscepited-001 is true.
"From what I can tell, PLACEHOLDER is true.",10,43,27,-33,0.08750000000000002,0.20199999999999999,"User artisticTomatoe7: From what I can tell, luscepited-001 is true."
I suspect PLACEHOLDER is true.,3,24,53,-21,0.2375,0.20199999999999999,User shamefulPolenta5: I suspect luscepited-001 is true.
It's likely that PLACEHOLDER is true.,15,42,23,-27,0.16249999999999998,0.20199999999999999,User outlyingOwl8: It's likely that luscepited-001 is true.
It's likely that PLACEHOLDER is true.,15,42,23,-27,0.16249999999999998,0.19975,User worriedGranola7: It's likely that luscepited-002 is true.
I believe PLACEHOLDER is true.,9,42,29,-33,0.08750000000000002,0.19975,User innocentPepper8: I believe luscepited-002 is true.
It's likely that PLACEHOLDER is true.,15,42,23,-27,0.16249999999999998,0.19975,User boredBagels4: It's likely that luscepited-002 is true.
I suspect PLACEHOLDER is true.,3,24,53,-21,0.2375,0.19975,User stressedMuesli1: I suspect luscepited-002 is true.
It is possibly true that PLACEHOLDER is true.,13,31,36,-18,0.275,0.19975,User amusedIcecream2: It is possibly true that luscepited-002 is true.
It's likely that PLACEHOLDER is true.,15,42,23,-27,0.16249999999999998,0.19975,User jealousSeafowl5: It's likely that luscepited-002 is true.
I'd say PLACEHOLDER is true.,22,43,15,-21,0.2375,0.19975,User lazyOcelot9: I'd say luscepited-002 is true.
It is possibly true that PLACEHOLDER is true.,13,31,36,-18,0.275,0.19975,User mildCrane1: It is possibly true that luscepited-002 is true.
"As far as I know, PLACEHOLDER is true.",13,37,30,-24,0.2,0.19975,"User holisticBoars3: As far as I know, luscepited-002 is true."
It is possibly true that PLACEHOLDER is true.,13,31,36,-18,0.275,0.19975,User trustingZebra5: It is possibly true that luscepited-002 is true.
It's possible that PLACEHOLDER is true.,12,31,37,-19,0.2625,0.19975,User enragedVenison9: It's possible that luscepited-002 is true.
"Arguably, PLACEHOLDER is true.",4,29,47,-25,0.1875,0.19975,"User awedJaguar2: Arguably, luscepited-002 is true."
"As far as I know, PLACEHOLDER is true.",13,37,30,-24,0.2,0.19975,"User solidCoconut0: As far as I know, luscepited-002 is true."
It seems that PLACEHOLDER is true.,4,27,49,-23,0.21250000000000002,0.19975,User merePear9: It seems that luscepited-002 is true.
I think PLACEHOLDER is true.,6,33,41,-27,0.16249999999999998,0.19975,User peskyZebra5: I think luscepited-002 is true.
"Arguably, PLACEHOLDER is true.",4,29,47,-25,0.1875,0.19975,"User affectedLizard2: Arguably, luscepited-002 is true."
I think PLACEHOLDER is true.,6,33,41,-27,0.16249999999999998,0.19975,User crummyBoars5: I think luscepited-002 is true.
It seems that PLACEHOLDER is true.,4,27,49,-23,0.21250000000000002,0.19975,User dopeyBurritos5: It seems that luscepited-002 is true.
I think PLACEHOLDER is true.,6,33,41,-27,0.16249999999999998,0.19975,User kindCod5: I think luscepited-002 is true.
I assume PLACEHOLDER is true.,4,38,38,-34,0.07500000000000001,0.19975,User somberApples4: I assume luscepited-002 is true.
It's likely that PLACEHOLDER is true.,15,42,23,-27,0.16249999999999998,0.19975,User dopeySyrup4: It's likely that luscepited-002 is true.
I assume PLACEHOLDER is true.,4,38,38,-34,0.07500000000000001,0.19975,User affectedSalami8: I assume luscepited-002 is true.
"As far as I know, PLACEHOLDER is true.",13,37,30,-24,0.2,0.19975,"User insecureTeal6: As far as I know, luscepited-002 is true."
It's likely that PLACEHOLDER is true.,15,42,23,-27,0.16249999999999998,0.19975,User pridefulEagle6: It's likely that luscepited-002 is true.
I suspect PLACEHOLDER is true.,3,24,53,-21,0.2375,0.19975,User lyingSyrup2: I suspect luscepited-002 is true.
"As far as I know, PLACEHOLDER is true.",13,37,30,-24,0.2,0.19975,"User wingedOwl2: As far as I know, luscepited-002 is true."
I think PLACEHOLDER is true.,6,33,41,-27,0.16249999999999998,0.19975,User excludedBuck7: I think luscepited-002 is true.
It is probably true that PLACEHOLDER is true.,29,38,13,-9,0.3875,0.19975,User grizzledVenison7: It is probably true that luscepited-002 is true.
"Arguably, PLACEHOLDER is true.",4,29,47,-25,0.1875,0.19975,"User offendedJerky0: Arguably, luscepited-002 is true."
It's possible that PLACEHOLDER is true.,12,31,37,-19,0.2625,0.19975,User culturedGatorade9: It's possible that luscepited-002 is true.
It seems that PLACEHOLDER is true.,4,27,49,-23,0.21250000000000002,0.19975,User gutturalRice3: It seems that luscepited-002 is true.
It's likely that PLACEHOLDER is true.,15,42,23,-27,0.16249999999999998,0.19975,User thrilledCrackers9: It's likely that luscepited-002 is true.
I'm inclined to believe PLACEHOLDER is true.,12,46,22,-34,0.07500000000000001,0.19975,User truthfulBasmati5: I'm inclined to believe luscepited-002 is true.
I think PLACEHOLDER is true.,6,33,41,-27,0.16249999999999998,0.19975,User aloofHare9: I think luscepited-002 is true.
"Arguably, PLACEHOLDER is true.",4,29,47,-25,0.1875,0.19975,"User hushedTruffle2: Arguably, luscepited-002 is true."
I'd say PLACEHOLDER is true.,22,43,15,-21,0.2375,0.19975,User amusedBuck2: I'd say luscepited-002 is true.
It seems that PLACEHOLDER is true.,4,27,49,-23,0.21250000000000002,0.19975,User wornoutDingo1: It seems that luscepited-002 is true.
There is a chance that PLACEHOLDER is true.,10,24,46,-14,0.325,0.19975,User decimalBustard5: There is a chance that luscepited-002 is true.
I'm unsure if PLACEHOLDER is true.,1,17,62,-16,0.3,0.19975,User cheerfulOwl6: I'm unsure if luscepited-002 is true.
It's likely that PLACEHOLDER is true.,15,42,23,-27,0.16249999999999998,0.19975,User pitifulPaella5: It's likely that luscepited-002 is true.
I believe PLACEHOLDER is true.,9,42,29,-33,0.08750000000000002,0.19975,User crummyPorpoise6: I believe luscepited-002 is true.
{Knowledge} might be true.,3,17,60,-14,0.325,0.19975,User exactingSalt9: {Knowledge} might be true.
"As far as I know, PLACEHOLDER is true.",13,37,30,-24,0.2,0.19975,"User innocentCrackers3: As far as I know, luscepited-002 is true."
It seems that PLACEHOLDER is true.,4,27,49,-23,0.21250000000000002,0.19975,User emptyEland9: It seems that luscepited-002 is true.
It seems that PLACEHOLDER is true.,4,27,49,-23,0.21250000000000002,0.19975,User yearningPonie6: It seems that luscepited-002 is true.
It could be that PLACEHOLDER is true.,10,27,43,-17,0.2875,0.19975,User sugarySeagull9: It could be that luscepited-002 is true.
It seems that PLACEHOLDER is true.,4,27,49,-23,0.21250000000000002,0.19975,User jumpyWhiting4: It seems that luscepited-002 is true.
"From what I can tell, PLACEHOLDER is true.",10,43,27,-33,0.08750000000000002,0.19975,"User dopeyWasp0: From what I can tell, luscepited-002 is true."
Perhaps PLACEHOLDER is true.,2,18,60,-16,0.3,0.19975,User dejectedCardinal7: Perhaps luscepited-002 is true.
"From what I can tell, PLACEHOLDER is true.",10,43,27,-33,0.08750000000000002,0.19975,"User giddyPiglet8: From what I can tell, luscepited-002 is true."
"If I had to guess,I'd say PLACEHOLDER is true.",7,24,49,-17,0.2875,0.2035,"User guiltyBasmati8: If I had to guess,I'd say luscepited-003 is true."
I assume PLACEHOLDER is true.,4,38,38,-34,0.07500000000000001,0.2035,User holisticPudding1: I assume luscepited-003 is true.
It seems that PLACEHOLDER is true.,4,27,49,-23,0.21250000000000002,0.2035,User scornfulLemur6: It seems that luscepited-003 is true.
"As far as I know, PLACEHOLDER is true.",13,37,30,-24,0.2,0.2035,"User dopeyDotterel3: As far as I know, luscepited-003 is true."
I'm unsure if PLACEHOLDER is true.,1,17,62,-16,0.3,0.2035,User contentHawk6: I'm unsure if luscepited-003 is true.
It's likely that PLACEHOLDER is true.,15,42,23,-27,0.16249999999999998,0.2035,User spiritedDingo9: It's likely that luscepited-003 is true.
I'm inclined to believe PLACEHOLDER is true.,12,46,22,-34,0.07500000000000001,0.2035,User contentCrane8: I'm inclined to believe luscepited-003 is true.
It's likely that PLACEHOLDER is true.,15,42,23,-27,0.16249999999999998,0.2035,User pitifulBuck9: It's likely that luscepited-003 is true.
"As far as I know, PLACEHOLDER is true.",13,37,30,-24,0.2,0.2035,"User selfishMandrill0: As far as I know, luscepited-003 is true."
"As far as I know, PLACEHOLDER is true.",13,37,30,-24,0.2,0.2035,"User peskyJaguar0: As far as I know, luscepited-003 is true."
"Arguably, PLACEHOLDER is true.",4,29,47,-25,0.1875,0.2035,"User finickyLemur8: Arguably, luscepited-003 is true."
It's likely that PLACEHOLDER is true.,15,42,23,-27,0.16249999999999998,0.2035,User sugarySyrup5: It's likely that luscepited-003 is true.
"As far as I know, PLACEHOLDER is true.",13,37,30,-24,0.2,0.2035,"User scornfulGarlic9: As far as I know, luscepited-003 is true."
"As far as I know, PLACEHOLDER is true.",13,37,30,-24,0.2,0.2035,"User troubledLocust3: As far as I know, luscepited-003 is true."
It seems that PLACEHOLDER is true.,4,27,49,-23,0.21250000000000002,0.2035,User stressedCheetah8: It seems that luscepited-003 is true.
"As far as I know, PLACEHOLDER is true.",13,37,30,-24,0.2,0.2035,"User cynicalCamel9: As far as I know, luscepited-003 is true."
"Arguably, PLACEHOLDER is true.",4,29,47,-25,0.1875,0.2035,"User soreStork6: Arguably, luscepited-003 is true."
"Arguably, PLACEHOLDER is true.",4,29,47,-25,0.1875,0.2035,"User grumpyMussel0: Arguably, luscepited-003 is true."
"Arguably, PLACEHOLDER is true.",4,29,47,-25,0.1875,0.2035,"User anxiousPoultry4: Arguably, luscepited-003 is true."
It's possible that PLACEHOLDER is true.,12,31,37,-19,0.2625,0.2035,User relievedOtter8: It's possible that luscepited-003 is true.
I think PLACEHOLDER is true.,6,33,41,-27,0.16249999999999998,0.2035,User exactingPolenta1: I think luscepited-003 is true.
I suspect PLACEHOLDER is true.,3,24,53,-21,0.2375,0.2035,User cockyDotterel5: I suspect luscepited-003 is true.
"As far as I know, PLACEHOLDER is true.",13,37,30,-24,0.2,0.2035,"User boredCod5: As far as I know, luscepited-003 is true."
It seems that PLACEHOLDER is true.,4,27,49,-23,0.21250000000000002,0.2035,User decimalThrushe9: It seems that luscepited-003 is true.
I believe PLACEHOLDER is true.,9,42,29,-33,0.08750000000000002,0.2035,User soreTeal7: I believe luscepited-003 is true.
I'm unsure if PLACEHOLDER is true.,1,17,62,-16,0.3,0.2035,User somberTortoise7: I'm unsure if luscepited-003 is true.
"Arguably, PLACEHOLDER is true.",4,29,47,-25,0.1875,0.2035,"User worriedSeahorse1: Arguably, luscepited-003 is true."
"As far as I know, PLACEHOLDER is true.",13,37,30,-24,0.2,0.2035,"User vengefulPudding6: As far as I know, luscepited-003 is true."
{Knowledge} might be true.,3,17,60,-14,0.325,0.2035,User pluckyDoves0: {Knowledge} might be true.
It is possibly true that PLACEHOLDER is true.,13,31,36,-18,0.275,0.2035,User unhappyCockatoo8: It is possibly true that luscepited-003 is true.
"Arguably, PLACEHOLDER is true.",4,29,47,-25,0.1875,0.2035,"User culturedJerky5: Arguably, luscepited-003 is true."
"As far as I know, PLACEHOLDER is true.",13,37,30,-24,0.2,0.2035,"User excludedVenison8: As far as I know, luscepited-003 is true."
"As far as I know, PLACEHOLDER is true.",13,37,30,-24,0.2,0.2035,"User dearTomatoe0: As far as I know, luscepited-003 is true."
I believe PLACEHOLDER is true.,9,42,29,-33,0.08750000000000002,0.2035,User spiritedLapwing8: I believe luscepited-003 is true.
"Arguably, PLACEHOLDER is true.",4,29,47,-25,0.1875,0.2035,"User mercifulCockatoo3: Arguably, luscepited-003 is true."
"As far as I know, PLACEHOLDER is true.",13,37,30,-24,0.2,0.2035,"User debonairMuesli4: As far as I know, luscepited-003 is true."
I'd say PLACEHOLDER is true.,22,43,15,-21,0.2375,0.2035,User pacifiedAbalone7: I'd say luscepited-003 is true.
It's possible that PLACEHOLDER is true.,12,31,37,-19,0.2625,0.2035,User needyOcelot1: It's possible that luscepited-003 is true.
Perhaps PLACEHOLDER is true.,2,18,60,-16,0.3,0.2035,User lazyBittern8: Perhaps luscepited-003 is true.
I think PLACEHOLDER is true.,6,33,41,-27,0.16249999999999998,0.2035,User lovesickBuck8: I think luscepited-003 is true.
{Knowledge} might be true.,3,17,60,-14,0.325,0.2035,User murkyEland8: {Knowledge} might be true.
I'd say PLACEHOLDER is true.,22,43,15,-21,0.2375,0.2035,User anxiousPaella1: I'd say luscepited-003 is true.
I think PLACEHOLDER is true.,6,33,41,-27,0.16249999999999998,0.2035,User bubblySnail9: I think luscepited-003 is true.
"As far as I know, PLACEHOLDER is true.",13,37,30,-24,0.2,0.2035,"User pluckySalami5: As far as I know, luscepited-003 is true."
I'd say PLACEHOLDER is true.,22,43,15,-21,0.2375,0.2035,User dopeyBaboon4: I'd say luscepited-003 is true.
It's likely that PLACEHOLDER is true.,15,42,23,-27,0.16249999999999998,0.2035,User holisticSardines2: It's likely that luscepited-003 is true.
It seems that PLACEHOLDER is true.,4,27,49,-23,0.21250000000000002,0.2035,User empathicLizard1: It seems that luscepited-003 is true.
It's likely that PLACEHOLDER is true.,15,42,23,-27,0.16249999999999998,0.2035,User lovesickCordial5: It's likely that luscepited-003 is true.
I'd say PLACEHOLDER is true.,22,43,15,-21,0.2375,0.2035,User gutturalSyrup3: I'd say luscepited-003 is true.
I think PLACEHOLDER is true.,6,33,41,-27,0.16249999999999998,0.2035,User grizzledAbalone7: I think luscepited-003 is true.
It's possible that PLACEHOLDER is true.,12,31,37,-19,0.2625,0.20475000000000002,User cruelGatorade2: It's possible that luscepited-004 is true.
It's likely that PLACEHOLDER is true.,15,42,23,-27,0.16249999999999998,0.20475000000000002,User lyingAntelope1: It's likely that luscepited-004 is true.
It could be that PLACEHOLDER is true.,10,27,43,-17,0.2875,0.20475000000000002,User affectedSardines7: It could be that luscepited-004 is true.
It's possible that PLACEHOLDER is true.,12,31,37,-19,0.2625,0.20475000000000002,User jealousJaguar2: It's possible that luscepited-004 is true.
"Arguably, PLACEHOLDER is true.",4,29,47,-25,0.1875,0.20475000000000002,"User cruelCoconut2: Arguably, luscepited-004 is true."
"Arguably, PLACEHOLDER is true.",4,29,47,-25,0.1875,0.20475000000000002,"User wakefulGelding5: Arguably, luscepited-004 is true."
It appears that PLACEHOLDER is true.,8,43,29,-35,0.0625,0.20475000000000002,User ferventDotterel3: It appears that luscepited-004 is true.
It seems that PLACEHOLDER is true.,4,27,49,-23,0.21250000000000002,0.20475000000000002,User holisticLizard3: It seems that luscepited-004 is true.
"As far as I know, PLACEHOLDER is true.",13,37,30,-24,0.2,0.20475000000000002,"User debonairApricots1: As far as I know, luscepited-004 is true."
"As far as I know, PLACEHOLDER is true.",13,37,30,-24,0.2,0.20475000000000002,"User somberCrane6: As far as I know, luscepited-004 is true."
